transaction_id,price,competitor_price,day_of_week,is_weekend,hour_of_day,is_peak_hour,month,season_factor,product_category,inventory_level,is_promotion,customer_rating,demand,revenue
44,182.77,189.15,5,1,20,1,9,-1.0,Clothing,11,1,4.76,171,31253.82
45,59.17,68.54,3,0,20,1,10,-1.7321,Clothing,42,0,1.25,122,7218.52
46,135.88,145.61,0,0,2,0,8,0.0,Clothing,25,0,2.24,115,15626.11
47,69.23,58.1,1,0,11,1,4,0.0,Food,34,0,3.95,197,13637.35
48,108.81,76.23,0,0,11,1,4,0.0,Clothing,22,0,3.74,155,16866.0
49,113.87,131.44,2,0,5,0,10,-1.7321,Toys,2,0,2.68,88,10021.0
50,45.12,58.26,2,0,9,1,11,-1.366,Toys,51,0,4.48,187,8437.88
51,194.22,230.34,6,1,21,1,5,-0.366,Toys,16,0,1.29,108,20975.88
52,157.28,153.52,5,1,5,0,3,1.0,Books,11,0,3.04,139,21861.26
53,188.5,234.17,5,1,13,0,2,1.7321,Toys,78,0,1.8,132,24882.63
54,180.02,170.28,1,0,1,0,2,1.7321,Clothing,96,0,2.5,120,21602.06
55,123.6,125.45,4,0,10,1,9,-1.0,Books,86,0,3.8,125,15450.12
56,185.16,182.62,0,0,14,0,8,0.0,Books,69,1,1.4,100,18515.61
57,26.81,25.97,0,0,7,0,6,-0.0,Books,100,0,1.18,159,4263.36
58,47.24,55.04,2,0,21,1,9,-1.0,Books,87,0,2.68,178,8408.14
59,18.59,18.89,0,0,12,1,5,-0.366,Food,62,0,2.09,190,3532.71
60,71.81,63.92,1,0,18,1,12,-0.0,Toys,19,0,3.88,191,13716.24
61,83.85,71.68,3,0,9,1,10,-1.7321,Food,29,0,1.26,83,6959.44
62,61.56,44.48,5,1,8,0,1,1.366,Electronics,42,1,4.87,247,15204.41
63,167.46,175.82,2,0,17,1,8,0.0,Food,23,0,3.48,83,13899.19
64,77.78,65.18,5,1,6,0,3,1.0,Books,60,1,3.01,218,16956.72
65,63.38,50.0,5,1,2,0,9,-1.0,Toys,73,0,2.65,137,8682.73
66,113.11,123.55,5,1,11,1,11,-1.366,Toys,18,0,4.0,134,15157.04
67,36.78,40.77,3,0,14,0,1,1.366,Clothing,95,0,2.43,209,7686.1
68,162.42,186.99,0,0,21,1,3,1.0,Food,81,0,4.11,138,22413.6
69,24.16,24.22,4,0,20,1,1,1.366,Toys,55,0,3.84,266,6427.79
70,197.51,244.21,5,1,12,1,1,1.366,Electronics,18,0,3.21,207,40884.26
71,156.73,197.76,1,0,5,0,6,-0.0,Electronics,27,0,4.55,173,27113.69
72,47.76,56.56,5,1,7,0,4,0.0,Food,85,0,2.38,185,8834.86
73,11.05,11.95,5,1,13,0,10,-1.7321,Clothing,1,0,1.23,146,1613.18
74,164.94,145.51,0,0,2,0,4,0.0,Electronics,96,0,2.5,122,20122.4
75,144.3,186.12,6,1,15,0,5,-0.366,Clothing,14,0,4.5,102,14718.9
76,148.51,128.39,1,0,17,1,3,1.0,Food,59,0,1.31,106,15742.2
77,156.54,128.61,0,0,23,0,12,-0.0,Toys,78,0,4.05,119,18628.42
78,24.07,23.23,5,1,16,0,2,1.7321,Clothing,33,0,4.3,264,6354.08
79,78.11,57.34,6,1,17,1,10,-1.7321,Electronics,36,0,2.71,134,10466.54
80,32.02,41.21,0,0,9,1,8,0.0,Clothing,39,0,1.78,224,7171.39
81,173.99,183.22,0,0,16,0,11,-1.366,Toys,76,0,2.42,51,8873.47
82,128.43,132.82,2,0,15,0,7,0.366,Toys,45,0,2.59,106,13613.22
83,72.87,79.68,3,0,20,1,10,-1.7321,Electronics,25,0,4.73,162,11805.04
84,22.08,22.04,6,1,23,0,4,0.0,Clothing,15,0,2.14,187,4128.23
85,69.09,49.69,4,0,1,0,2,1.7321,Clothing,20,1,4.89,259,17893.44
86,71.78,76.62,6,1,19,1,12,-0.0,Books,34,0,1.44,147,10552.37
87,148.63,167.9,3,0,3,0,9,-1.0,Electronics,58,0,4.9,130,19321.27
88,131.14,124.59,3,0,10,1,8,0.0,Clothing,60,0,1.89,122,15998.58
89,178.57,206.14,1,0,6,0,4,0.0,Food,78,0,1.67,0,0.0
90,99.72,83.39,2,0,16,0,11,-1.366,Books,30,0,1.48,54,5384.93
91,32.72,27.25,2,0,18,1,5,-0.366,Electronics,13,0,2.27,178,5824.68
92,145.52,115.95,0,0,5,0,10,-1.7321,Toys,78,0,3.47,43,6257.21
93,154.55,142.68,3,0,9,1,6,-0.0,Electronics,93,0,3.67,165,25500.61
94,116.64,140.93,6,1,20,1,4,0.0,Food,90,0,2.48,170,19829.25
95,156.48,187.27,4,0,3,0,2,1.7321,Food,67,0,1.92,115,17995.63
96,103.82,96.52,1,0,0,0,5,-0.366,Toys,89,0,4.98,143,14846.43
97,109.32,115.16,6,1,6,0,11,-1.366,Toys,91,0,2.08,102,11150.56
98,91.23,103.32,2,0,20,1,1,1.366,Toys,45,0,2.51,218,19888.75
99,14.83,12.53,0,0,15,0,7,0.366,Books,40,0,2.92,191,2832.46
100,30.5,24.43,4,0,16,0,9,-1.0,Food,80,0,3.96,136,4147.91
101,15.97,20.5,3,0,23,0,3,1.0,Toys,38,0,1.61,225,3593.6
102,130.92,140.15,6,1,4,0,6,-0.0,Food,75,0,2.06,72,9426.09
103,69.73,89.87,4,0,21,1,9,-1.0,Books,93,0,4.99,174,12132.61
104,106.63,96.25,2,0,22,0,11,-1.366,Books,47,0,4.3,93,9916.44
105,182.44,204.66,1,0,9,1,4,0.0,Food,88,0,2.78,55,10034.07
106,57.37,47.82,6,1,6,0,6,-0.0,Toys,29,0,1.43,130,7457.52
107,87.97,75.37,3,0,12,1,3,1.0,Electronics,34,1,4.47,282,24808.32
108,153.55,154.65,1,0,6,0,9,-1.0,Clothing,11,0,4.13,74,11363.05
109,53.47,47.68,5,1,14,0,7,0.366,Food,20,0,3.32,165,8822.82
110,24.63,19.72,4,0,16,0,7,0.366,Books,20,0,2.62,182,4481.97
111,65.05,55.8,4,0,22,0,4,0.0,Toys,73,0,4.74,175,11384.24
112,40.63,29.31,0,0,2,0,6,-0.0,Clothing,56,0,2.18,168,6826.18
113,186.64,209.54,3,0,4,0,11,-1.366,Food,23,0,2.28,8,1493.14
114,163.54,162.77,4,0,9,1,11,-1.366,Electronics,100,0,4.5,135,22078.29
115,130.35,98.61,2,0,4,0,8,0.0,Electronics,91,0,3.51,152,19812.7
116,175.58,140.99,5,1,23,0,6,-0.0,Books,88,0,4.8,62,10885.81
117,162.7,123.9,2,0,6,0,6,-0.0,Books,25,0,3.58,53,8622.98
118,45.45,48.52,1,0,6,0,4,0.0,Books,89,0,1.13,139,6317.32
119,179.59,135.86,5,1,21,1,8,0.0,Food,33,1,1.71,64,11493.52
120,112.48,129.64,5,1,22,0,10,-1.7321,Electronics,31,0,2.13,87,9785.33
121,163.41,116.4,2,0,13,0,8,0.0,Electronics,74,0,4.47,124,20263.29
122,180.26,153.15,4,0,22,0,9,-1.0,Books,79,0,4.32,14,2523.6
123,70.42,86.93,2,0,14,0,6,-0.0,Books,1,1,4.16,221,15562.97
124,30.91,34.96,3,0,4,0,2,1.7321,Toys,54,0,3.21,229,7078.36
125,53.31,39.65,1,0,4,0,4,0.0,Electronics,16,0,1.56,163,8689.15
126,91.15,108.71,6,1,3,0,4,0.0,Books,85,1,1.52,161,14675.23
127,165.42,164.73,5,1,19,1,8,0.0,Books,59,0,1.5,63,10421.64
128,173.54,209.65,3,0,20,1,5,-0.366,Books,66,0,4.42,96,16659.73
129,11.32,12.01,4,0,8,0,4,0.0,Toys,3,1,1.57,222,2513.24
130,107.04,118.72,4,0,11,1,8,0.0,Electronics,15,0,4.23,208,22264.73
131,89.31,115.75,2,0,15,0,3,1.0,Electronics,32,0,4.38,210,18754.7
132,52.2,43.82,0,0,21,1,2,1.7321,Electronics,50,1,1.42,295,15399.14
133,32.77,35.21,5,1,7,0,4,0.0,Toys,91,0,4.61,216,7079.27
134,74.15,72.38,5,1,8,0,11,-1.366,Food,100,0,4.59,129,9564.95
135,189.15,136.88,0,0,11,1,1,1.366,Toys,99,0,3.55,123,23265.8
136,71.41,50.61,4,0,19,1,1,1.366,Clothing,60,1,3.05,250,17852.14
137,108.57,83.77,4,0,6,0,5,-0.366,Toys,88,1,3.59,178,19325.5
138,143.57,156.42,6,1,20,1,11,-1.366,Clothing,8,0,2.62,101,14500.93
139,79.09,82.28,6,1,3,0,1,1.366,Books,7,0,3.35,186,14710.67
140,194.64,200.88,5,1,22,0,4,0.0,Clothing,4,0,4.88,71,13819.34
141,192.86,138.69,6,1,2,0,8,0.0,Toys,94,1,1.45,64,12343.36
142,57.84,56.77,6,1,0,0,8,0.0,Food,10,0,1.94,98,5668.19
143,104.48,131.1,1,0,6,0,2,1.7321,Electronics,60,1,3.1,267,27895.42
144,67.17,63.04,5,1,8,0,3,1.0,Toys,25,0,2.03,189,12694.54
145,64.12,68.93,4,0,1,0,3,1.0,Electronics,42,0,4.97,230,14747.53
146,17.01,19.86,4,0,6,0,1,1.366,Clothing,47,0,3.88,243,4133.07
147,125.82,147.25,6,1,9,1,11,-1.366,Books,96,0,2.74,91,11449.37
148,105.51,106.73,1,0,1,0,3,1.0,Books,96,0,4.61,141,14876.77
149,19.78,24.03,6,1,12,1,8,0.0,Toys,32,1,1.58,275,5439.76
150,62.94,58.84,6,1,2,0,6,-0.0,Clothing,74,0,2.15,126,7930.8
151,182.57,225.15,3,0,12,1,5,-0.366,Clothing,73,1,4.82,174,31767.27
152,55.52,46.86,3,0,9,1,10,-1.7321,Electronics,25,0,3.23,148,8216.48
153,37.53,32.58,1,0,11,1,12,-0.0,Clothing,89,0,4.68,227,8519.32
154,103.0,75.38,1,0,2,0,9,-1.0,Food,16,0,4.94,78,8033.69
155,197.27,232.26,3,0,19,1,7,0.366,Books,49,1,2.44,167,32944.69
156,55.99,53.2,3,0,5,0,6,-0.0,Food,16,0,3.31,149,8342.58
157,137.71,115.32,3,0,2,0,5,-0.366,Food,94,0,4.39,58,7986.93
158,154.71,129.81,3,0,1,0,5,-0.366,Electronics,38,0,2.09,110,17017.85
159,55.15,68.43,5,1,22,0,10,-1.7321,Clothing,5,0,2.79,107,5901.17
160,148.36,178.09,5,1,21,1,9,-1.0,Electronics,7,0,1.61,142,21067.28
161,79.88,82.44,6,1,13,0,10,-1.7321,Books,77,0,3.61,76,6070.79
162,130.14,139.2,2,0,14,0,6,-0.0,Electronics,8,0,1.02,127,16527.54
163,130.37,128.36,6,1,17,1,12,-0.0,Food,33,0,2.8,124,16165.96
164,111.8,104.53,1,0,18,1,11,-1.366,Electronics,62,0,4.72,149,16657.78
165,27.16,33.92,0,0,21,1,4,0.0,Clothing,74,0,4.59,264,7168.93
166,168.71,130.81,2,0,9,1,4,0.0,Electronics,84,0,4.22,152,25643.54
167,70.95,67.48,0,0,19,1,12,-0.0,Clothing,32,0,1.56,181,12841.63
168,45.44,41.2,0,0,16,0,4,0.0,Food,93,0,3.08,132,5997.88
169,17.75,17.73,4,0,16,0,11,-1.366,Clothing,1,0,3.88,196,3478.47
170,122.27,119.16,1,0,18,1,6,-0.0,Clothing,91,0,1.4,151,18462.72
171,138.74,140.31,5,1,23,0,1,1.366,Clothing,20,0,1.59,99,13734.99
172,13.15,10.31,2,0,3,0,9,-1.0,Clothing,55,0,1.16,120,1578.2
173,107.3,108.14,6,1,10,1,2,1.7321,Books,63,0,2.29,211,22639.81
174,53.03,44.84,1,0,16,0,2,1.7321,Toys,78,0,4.51,243,12887.31
175,132.58,107.47,3,0,23,0,5,-0.366,Books,79,1,3.03,93,12330.2
176,43.13,31.87,1,0,9,1,12,-0.0,Electronics,6,0,4.41,242,10437.37
177,141.28,163.54,0,0,21,1,12,-0.0,Books,52,0,1.33,111,15681.88
178,83.48,79.85,5,1,16,0,11,-1.366,Books,2,0,1.22,81,6761.86
179,187.98,202.26,3,0,11,1,4,0.0,Clothing,93,0,4.22,120,22557.44
180,36.13,41.06,1,0,9,1,3,1.0,Electronics,39,1,2.99,294,10621.92
181,74.8,82.85,1,0,9,1,5,-0.366,Electronics,32,0,2.88,192,14362.1
182,31.56,31.0,5,1,5,0,7,0.366,Food,51,0,2.9,165,5207.39
183,185.69,173.2,0,0,16,0,10,-1.7321,Clothing,69,0,2.52,0,0.0
184,176.69,163.54,6,1,18,1,2,1.7321,Books,86,0,4.55,142,25090.62
185,59.01,63.97,3,0,1,0,6,-0.0,Food,92,1,3.08,215,12686.92
186,135.4,134.97,0,0,3,0,4,0.0,Food,32,0,4.9,81,10967.15
187,165.27,199.89,5,1,17,1,2,1.7321,Books,93,1,4.39,255,42144.42
188,115.49,141.45,1,0,20,1,1,1.366,Electronics,3,0,3.95,263,30373.38
189,110.63,88.77,6,1,3,0,8,0.0,Clothing,62,1,3.54,181,20024.68
190,55.95,43.74,2,0,5,0,5,-0.366,Clothing,95,0,4.34,149,8336.84
191,27.69,29.86,2,0,13,0,10,-1.7321,Books,13,0,4.53,140,3876.53
192,180.47,158.95,4,0,6,0,2,1.7321,Clothing,70,0,1.53,98,17686.16
193,181.08,128.77,2,0,11,1,8,0.0,Toys,21,1,2.44,125,22634.93
194,130.29,160.67,5,1,1,0,3,1.0,Food,61,0,4.22,133,17328.47
195,74.42,62.22,5,1,17,1,7,0.366,Food,14,0,1.89,159,11832.09
196,76.35,96.02,5,1,23,0,2,1.7321,Toys,89,0,3.34,234,17865.86
197,147.93,167.23,3,0,12,1,7,0.366,Clothing,71,1,4.12,236,34911.85
198,180.45,208.89,4,0,12,1,4,0.0,Electronics,22,1,1.9,234,42225.52
199,178.55,146.56,3,0,4,0,10,-1.7321,Toys,32,0,2.61,0,0.0
200,158.18,132.95,6,1,6,0,1,1.366,Toys,41,1,4.66,204,32267.98
201,131.99,133.67,2,0,11,1,5,-0.366,Food,32,0,2.42,93,12274.7
202,25.99,20.87,6,1,13,0,12,-0.0,Electronics,42,1,3.42,229,5950.93
203,40.71,35.96,2,0,0,0,12,-0.0,Electronics,52,1,2.74,248,10095.95
204,180.73,161.37,1,0,23,0,4,0.0,Clothing,94,0,4.51,60,10843.52
205,125.22,99.65,3,0,9,1,8,0.0,Electronics,81,0,2.7,167,20911.99
206,11.75,9.67,0,0,8,0,1,1.366,Clothing,54,0,2.44,212,2490.46
207,29.28,34.35,6,1,9,1,2,1.7321,Books,62,1,1.69,271,7934.77
208,136.07,108.9,1,0,6,0,5,-0.366,Toys,85,0,2.4,60,8163.92
209,10.96,7.86,3,0,15,0,10,-1.7321,Toys,90,0,3.68,111,1216.75
210,40.55,43.7,5,1,11,1,10,-1.7321,Clothing,43,0,1.7,141,5718.05
211,114.26,146.89,4,0,11,1,12,-0.0,Clothing,3,0,3.82,169,19309.84
212,141.46,127.13,6,1,18,1,2,1.7321,Clothing,38,1,1.04,231,32677.28
213,133.87,103.24,3,0,12,1,11,-1.366,Toys,81,0,2.47,101,13521.14
214,52.61,54.83,4,0,20,1,1,1.366,Clothing,39,0,2.86,229,12047.96
215,145.31,180.74,6,1,17,1,6,-0.0,Toys,70,1,1.38,183,26592.47
216,55.08,64.46,4,0,2,0,12,-0.0,Toys,85,0,3.74,168,9252.99
217,71.83,77.11,6,1,6,0,12,-0.0,Food,45,0,1.41,112,8044.51
218,151.83,134.99,2,0,0,0,10,-1.7321,Food,46,1,1.36,46,6984.33
219,133.43,136.78,0,0,2,0,4,0.0,Books,13,0,2.47,83,11074.71
220,171.35,129.33,6,1,20,1,5,-0.366,Books,52,0,3.95,82,14050.9
221,134.95,149.44,3,0,13,0,3,1.0,Electronics,9,0,4.85,184,24830.15
222,117.98,133.91,0,0,3,0,10,-1.7321,Clothing,57,1,4.1,140,16517.01
223,27.8,35.55,4,0,18,1,6,-0.0,Toys,69,0,2.86,235,6532.58
224,79.87,68.38,2,0,21,1,4,0.0,Electronics,43,0,2.09,205,16372.53
225,60.39,42.94,6,1,5,0,6,-0.0,Food,7,1,2.21,192,11594.58
226,56.36,57.9,0,0,19,1,5,-0.366,Toys,44,0,2.13,149,8397.35
227,194.87,219.05,1,0,8,0,11,-1.366,Electronics,44,0,2.11,46,8964.11
228,84.69,99.45,4,0,10,1,2,1.7321,Food,95,0,1.28,204,17276.47
229,179.49,146.51,1,0,21,1,4,0.0,Books,68,1,1.88,122,21897.64
230,129.92,111.35,5,1,14,0,2,1.7321,Clothing,77,0,1.43,129,16759.21
231,161.01,162.23,0,0,8,0,5,-0.366,Clothing,44,0,1.03,68,10948.96
232,105.5,94.78,0,0,10,1,3,1.0,Electronics,79,1,2.14,278,29329.29
233,119.61,145.48,0,0,9,1,6,-0.0,Food,40,0,2.41,122,14592.63
234,103.58,101.95,5,1,1,0,11,-1.366,Electronics,77,0,4.71,102,10564.99
235,47.1,55.56,3,0,21,1,5,-0.366,Food,43,0,4.98,214,10078.58
236,147.27,154.39,4,0,13,0,2,1.7321,Food,62,0,3.32,108,15904.72
237,63.35,73.73,4,0,3,0,10,-1.7321,Clothing,43,0,4.6,92,5827.9
238,14.62,13.15,6,1,1,0,11,-1.366,Books,90,0,3.47,155,2266.11
239,132.64,159.02,6,1,4,0,8,0.0,Books,19,0,2.99,114,15120.93
240,43.65,37.75,6,1,13,0,6,-0.0,Toys,49,0,1.17,140,6111.14
241,188.69,193.91,4,0,14,0,9,-1.0,Food,65,1,1.18,21,3962.43
242,191.25,158.43,3,0,18,1,3,1.0,Clothing,77,0,1.12,102,19507.14
243,183.82,181.12,0,0,5,0,11,-1.366,Food,25,0,1.6,0,0.0
244,80.33,71.57,0,0,14,0,4,0.0,Toys,84,0,1.31,136,10924.9
245,12.94,11.13,5,1,13,0,11,-1.366,Clothing,41,0,1.78,114,1474.79
246,186.38,238.6,1,0,7,0,8,0.0,Food,23,0,3.08,71,13233.02
247,91.35,72.72,3,0,19,1,7,0.366,Books,58,0,3.01,194,17722.87
248,193.66,227.05,2,0,11,1,8,0.0,Books,88,1,2.38,152,29436.99
249,193.09,249.18,3,0,3,0,9,-1.0,Toys,43,0,3.66,98,18922.6
250,172.07,122.5,5,1,20,1,8,0.0,Books,40,0,2.57,55,9463.95
251,65.95,73.82,1,0,5,0,8,0.0,Food,30,0,1.88,130,8572.89
252,83.17,70.84,1,0,10,1,6,-0.0,Toys,34,0,3.77,201,16716.88
253,171.72,124.37,6,1,22,0,11,-1.366,Electronics,10,0,4.92,78,13393.85
254,70.22,66.12,6,1,21,1,2,1.7321,Toys,60,0,4.24,246,17272.93
255,42.2,53.22,1,0,6,0,12,-0.0,Books,1,1,2.66,223,9411.41
256,115.79,81.87,0,0,3,0,7,0.366,Clothing,12,1,2.5,161,18642.55
257,187.87,197.78,2,0,14,0,4,0.0,Toys,46,1,1.15,128,24047.28
258,142.25,142.36,1,0,0,0,3,1.0,Food,93,0,3.63,82,11664.14
259,118.31,144.82,4,0,8,0,4,0.0,Toys,75,0,1.89,118,13960.77
260,28.46,21.36,0,0,22,0,4,0.0,Books,17,0,3.73,217,6176.59
261,126.85,140.67,2,0,19,1,3,1.0,Toys,84,0,4.04,215,27273.05
262,198.11,219.52,4,0,7,0,9,-1.0,Food,58,0,4.52,2,396.22
263,36.62,40.33,2,0,11,1,3,1.0,Food,38,1,3.19,303,11094.64
264,108.48,137.27,5,1,6,0,2,1.7321,Books,6,0,4.32,207,22455.91
265,176.7,210.95,2,0,17,1,1,1.366,Food,62,0,3.89,141,24914.82
266,150.75,109.32,4,0,0,0,11,-1.366,Books,84,0,2.41,15,2261.19
267,142.43,139.96,3,0,8,0,1,1.366,Toys,74,1,1.43,173,24640.91
268,143.47,134.69,2,0,6,0,5,-0.366,Toys,10,0,1.97,98,14060.25
269,78.3,69.38,3,0,13,0,12,-0.0,Electronics,95,0,4.38,159,12450.23
270,65.78,63.86,2,0,0,0,12,-0.0,Books,26,0,3.14,161,10590.97
271,163.78,152.4,5,1,12,1,5,-0.366,Clothing,58,0,3.66,126,20636.11
272,163.92,157.27,4,0,19,1,12,-0.0,Books,17,1,4.22,160,26227.45
273,174.74,224.99,2,0,14,0,9,-1.0,Toys,53,0,3.67,65,11358.34
274,183.52,138.22,1,0,4,0,4,0.0,Toys,78,1,4.42,135,24774.62
275,107.16,134.3,5,1,4,0,5,-0.366,Food,5,0,1.35,98,10501.2
276,105.29,104.04,1,0,13,0,6,-0.0,Electronics,67,0,4.61,171,18004.26
277,161.68,173.68,5,1,13,0,10,-1.7321,Clothing,20,0,4.25,29,4688.61
278,133.49,159.94,5,1,13,0,7,0.366,Electronics,51,0,4.61,181,24162.26
279,143.37,131.37,6,1,4,0,9,-1.0,Books,46,0,3.92,85,12186.77
280,161.2,154.47,2,0,10,1,6,-0.0,Books,79,0,2.1,123,19827.67
281,179.1,169.38,4,0,18,1,1,1.366,Toys,67,0,1.46,165,29551.67
282,74.22,68.64,6,1,4,0,8,0.0,Food,3,0,1.52,126,9351.6
283,81.36,102.13,4,0,3,0,2,1.7321,Clothing,23,0,3.0,212,17248.48
284,27.86,33.35,0,0,14,0,9,-1.0,Food,9,0,2.56,136,3788.49
285,119.87,91.75,4,0,20,1,11,-1.366,Clothing,11,0,3.62,131,15703.39
286,16.83,12.87,3,0,6,0,7,0.366,Electronics,47,0,3.01,204,3433.12
287,98.46,94.2,2,0,4,0,7,0.366,Toys,49,0,1.5,148,14572.62
288,113.1,85.87,1,0,14,0,10,-1.7321,Food,44,1,1.01,52,5881.33
289,64.44,69.05,4,0,13,0,10,-1.7321,Books,13,0,1.51,94,6057.63
290,122.26,96.12,1,0,23,0,12,-0.0,Toys,8,1,1.59,145,17727.46
291,15.8,16.01,0,0,23,0,5,-0.366,Clothing,63,0,3.88,164,2590.39
292,17.1,12.04,2,0,2,0,8,0.0,Toys,22,0,2.14,167,2855.06
293,166.29,147.99,4,0,4,0,10,-1.7321,Books,38,0,1.37,0,0.0
294,78.44,86.78,6,1,11,1,1,1.366,Books,27,0,4.02,256,20079.67
295,34.14,33.81,1,0,19,1,3,1.0,Clothing,26,1,4.76,297,10140.02
296,109.23,140.57,6,1,13,0,9,-1.0,Toys,23,0,1.4,85,9284.23
297,156.3,191.38,5,1,4,0,1,1.366,Food,95,0,4.85,116,18130.66
298,51.01,46.69,6,1,23,0,11,-1.366,Toys,93,0,4.8,160,8160.96
299,128.35,93.35,4,0,3,0,8,0.0,Books,65,1,3.09,128,16428.7
300,26.22,31.65,0,0,20,1,6,-0.0,Clothing,74,0,2.18,214,5610.23
301,19.82,24.71,6,1,15,0,12,-0.0,Electronics,47,1,1.55,241,4776.51
302,110.96,132.3,5,1,6,0,10,-1.7321,Electronics,61,0,4.3,143,15866.91
303,112.72,87.56,1,0,2,0,5,-0.366,Toys,46,0,3.42,138,15555.45
304,131.11,170.28,1,0,21,1,12,-0.0,Books,4,0,3.61,189,24780.11
305,147.96,126.53,2,0,3,0,6,-0.0,Toys,31,0,4.44,106,15683.48
306,195.41,221.7,6,1,19,1,11,-1.366,Clothing,4,0,2.78,68,13288.01
307,108.1,134.56,6,1,21,1,5,-0.366,Food,29,0,2.47,131,14160.72
308,71.36,60.04,2,0,5,0,9,-1.0,Electronics,73,0,4.05,114,8135.24
309,161.09,200.54,1,0,2,0,2,1.7321,Toys,79,0,2.19,139,22390.87
310,61.46,54.43,5,1,0,0,10,-1.7321,Books,44,0,2.31,98,6022.9
311,93.4,120.1,6,1,2,0,6,-0.0,Electronics,3,0,2.52,147,13730.47
312,24.91,21.64,2,0,23,0,12,-0.0,Electronics,59,1,4.43,235,5853.08
313,14.82,18.85,1,0,7,0,4,0.0,Food,79,1,4.12,252,3733.79
314,192.9,141.23,5,1,15,0,3,1.0,Toys,53,0,2.17,56,10802.58
315,168.84,190.04,3,0,21,1,12,-0.0,Food,11,1,1.57,117,19753.84
316,142.24,144.98,4,0,6,0,5,-0.366,Books,6,1,2.57,117,16641.51
317,87.7,86.54,6,1,17,1,2,1.7321,Books,47,0,3.5,190,16663.2
